Headline,Body ID,Stance,actual,predicted,prob_0,prob_1,prob_2,prob_3
Police find mass graves with at least '15 bodies' near Mexico town where 43 students disappeared after police clash,712,unrelated,unrelated,unrelated,4.150423e-07,1.12646404e-07,1.4971126e-06,0.999998
'Nasa Confirms Earth Will Experience 6 Days of Total Darkness in December' Fake News Story Goes Viral,154,agree,agree,agree,0.5531924,0.018636642,0.42751372,0.00065729127
Identity of ISIS terrorist known as 'Jihadi John' reportedly revealed,2033,unrelated,unrelated,unrelated,5.495204e-06,1.9434342e-06,7.4656837e-06,0.9999851
N. Korea’s Kim has leg injury but in control,570,unrelated,unrelated,unrelated,8.219045e-06,1.925998e-06,1.8156696e-05,0.99997175
NET Extra: Back-from-the-dead Catholic priest claims God is a female,1014,agree,agree,discuss,0.13626897,0.038771726,0.82018125,0.004778024
Who Is Michael Zehaf-Bibeau? Ottawa Shooter Suspect Identified By Canadian Officials ,1251,unrelated,unrelated,unrelated,5.2941127e-06,1.2463693e-06,3.8069347e-06,0.9999896
Nasa questions whether crater in Nicaragua caused by meteorite,534,unrelated,unrelated,unrelated,2.469478e-06,5.4630374e-07,1.7925666e-06,0.99999523
"That Story About a Catholic Priest Dying, Seeing God as a Woman, and Coming Back to Life? It’s Almost Definitely Fake",1299,unrelated,unrelated,unrelated,3.827099e-06,4.75781e-07,4.7481212e-06,0.99999094
"Catholic Priest Dead For 48 Minutes, Is Miraculously Revived – His Revelations About God Are Even More Shocking",289,unrelated,unrelated,unrelated,0.0516517,0.012448909,0.051423796,0.8844756
Rumors of ISIS leader's death debunked,1255,unrelated,unrelated,unrelated,6.229384e-05,1.2545615e-05,4.6099227e-05,0.999879
Nigeria and Boko Haram 'agree ceasefire and girls' release',459,unrelated,unrelated,unrelated,3.8631183e-06,9.546881e-07,2.6910823e-06,0.9999925
Macaulay Culkin Hasn’t Died Despite What Everyone Is Saying On Facebook,759,agree,agree,agree,0.5299404,0.116625175,0.3519817,0.0014527416
"Why the Gold Apple Watch Edition Must Cost $10,000",816,unrelated,unrelated,unrelated,5.4179213e-06,1.4927095e-07,8.870035e-06,0.9999856
Amazon's first brick-and-mortar store said to open in Manhattan,1934,unrelated,unrelated,unrelated,7.775545e-05,1.010995e-05,0.00071303063,0.9991991
"UPDATE: Soldier, gunman who died in Ottawa rampage identified",205,unrelated,unrelated,unrelated,6.0702264e-06,5.646341e-07,2.1183234e-05,0.9999722
Mystery woman behind the 'richest hands on the internet' revealed: Former pornstar 'makes $5m a year unwrapping Disney toys on YouTube',1315,agree,agree,discuss,0.13981603,0.0954952,0.6557393,0.108949475
Jihadi John identity revealed as Mohammed Emwazi: live,2033,unrelated,unrelated,unrelated,2.0836287e-06,1.9004901e-06,9.093125e-06,0.9999869
Wife and son of Isil leader Abu Bakr al-Baghdadi 'detained at Lebanon border',1125,unrelated,unrelated,unrelated,1.159221e-06,1.3807125e-06,1.7228156e-06,0.9999957
Former PGA Tour player: Tiger Woods suspended for drug test failure,2240,unrelated,unrelated,unrelated,2.2968425e-06,1.1421731e-06,2.9932714e-06,0.99999356
Priest who died for 48 minutes says he met God and she’s a woman,1720,unrelated,unrelated,unrelated,0.020123685,0.003551152,0.043631148,0.932694
Mum faces real-life Sophie's Choice – as she tries to sell her son to fund daughter's care,1358,unrelated,unrelated,unrelated,3.7361177e-05,7.2706185e-05,0.00021870357,0.9996712
"CNN Broadcasts Purported Audio Containing Gunshots That Felled Michael Brown Jr.; Leaders, Celebrities Fill Pews At Teen’s Funeral",346,unrelated,unrelated,unrelated,1.3129486e-06,1.9795092e-07,1.6343058e-06,0.9999969
Kim Jong-un 'set to open a new restaurant in SCOTLAND',1406,unrelated,unrelated,unrelated,2.2289998e-05,6.641101e-06,1.0345537e-05,0.9999608
"11 Tripoli Planes Still Missing, Sparks 9/11 Concerns",1958,agree,agree,discuss,0.17676082,0.12782797,0.68818593,0.0072252993
Seth Rogen reported to play Woz in the upcoming Steve Jobs movie,1966,unrelated,unrelated,unrelated,0.00015629565,3.4146557e-05,0.0034874724,0.99632215
Scientists Doubt That Meteor Caused Crater In Nicaragua,731,unrelated,unrelated,unrelated,2.0178852e-06,1.2914417e-06,7.981349e-06,0.9999887
Video: Marine saved by helmet after Taliban sniper attack,488,agree,agree,agree,0.6258884,0.03926334,0.3348363,1.1946735e-05
Boko Haram 'ceasefire' doubts after attacks reported in Nigeria,1125,unrelated,unrelated,unrelated,1.1216436e-05,8.504449e-06,1.8383596e-05,0.99996185
Michael Phelps’ alleged girlfriend says she was born intersex,618,unrelated,unrelated,unrelated,2.817929e-05,7.3962865e-06,3.1387262e-05,0.999933
Vogue’s Rat Infestation: Disturbing New Details,2064,agree,agree,discuss,0.09885434,0.0015108415,0.89778197,0.001852835
"Feminist Aborts Baby For Being A Boy, Shocked People Don’t Approve",1363,unrelated,unrelated,unrelated,0.39814568,0.0013796807,0.0016216894,0.59885293
New iOS 8 bug can delete all of your iCloud documents,139,unrelated,unrelated,unrelated,7.1363895e-05,5.6433568e-05,3.2831318e-05,0.9998393
"Wildest Apple Watch rumor yet: 100,000 apps at launch",986,unrelated,unrelated,unrelated,1.3233157e-06,5.058615e-07,1.2188037e-06,0.9999969
Sergeant-at-Arms stopped shooter on Parliament Hill,1568,unrelated,unrelated,unrelated,3.4349356e-05,5.4039097e-06,0.0002563338,0.99970394
"FIDEL CASTRO DEATH WATCH: RUMORS HEAT UP, CUBA DENIES",1401,discuss,discuss,discuss,0.05590497,0.010943843,0.9322102,0.00094103295
'They ate through the ceilings and pooped on the keyboards': Rats are 'taking over' Vogue's new World Trade Center office and Anna Wintour 'no longer wants to work there',320,unrelated,unrelated,unrelated,1.772801e-05,6.109572e-07,8.069429e-05,0.99990094
Mexico prosecutor: Students not in 1st mass graves,1948,unrelated,unrelated,unrelated,2.9504893e-06,7.129787e-07,4.9740152e-05,0.9999466
Audio recording allegedly captures moment Michael Brown was shot,1720,unrelated,unrelated,unrelated,2.8774534e-06,1.1054622e-06,2.6099783e-06,0.99999344
WHO investigates media reports ISIS fighters contracted Ebola,1574,unrelated,unrelated,unrelated,3.334619e-06,2.5267036e-06,1.3396946e-06,0.99999285
Who Is Michael Zehaf-Bibeau? Ottawa Shooter Suspect Identified By Canadian Officials ,2302,unrelated,unrelated,unrelated,0.000920285,0.0005533115,0.0015403284,0.9969861
Tropical spider burrowed under man's skin through appendix scar and lived there for THREE DAYS,214,unrelated,unrelated,unrelated,1.7896414e-06,6.8569784e-07,3.858237e-06,0.9999937
High school student scores $72M playing the stock market,1987,discuss,discuss,discuss,0.1953541,0.018526407,0.78513575,0.0009836802
James Foley remembered as 'brave and tireless' journalist,874,unrelated,unrelated,unrelated,5.416233e-05,5.918004e-06,0.00020351622,0.99973637
Islamic State using 'SCORPION bombs' to terrorise victims,1720,unrelated,unrelated,unrelated,6.223844e-06,1.7634443e-06,4.642199e-06,0.99998736
ISIS Getting Ebola,720,unrelated,unrelated,unrelated,5.019657e-05,5.3486456e-06,2.7488692e-05,0.9999169
"Jeh Johnson: Politicians Shouldn't 'Feed The Flames Of Fear' Over ISIS, Ebola",666,agree,agree,agree,0.45745498,0.1437364,0.356535,0.042273596
Zack Snyder Makes Fun of Stolen Batmobile Rumor with New Image,734,unrelated,unrelated,unrelated,0.0012558076,0.00012733777,0.0006055354,0.99801123
Video messaging service verifies timing of CNN audio recording,1299,unrelated,unrelated,unrelated,1.3331381e-05,6.0973784e-06,1.4264969e-05,0.99996626
Boko Haram 'ceasefire' doubts after attacks reported in Nigeria,1372,unrelated,unrelated,unrelated,7.1370996e-06,5.390295e-06,1.7632916e-05,0.99996984
Eggnog-chugging contest leads to hospital stay,2509,unrelated,unrelated,unrelated,8.970064e-06,1.6186718e-06,1.4546126e-05,0.99997485
Obama: murder of James Foley 'shocks the conscience of the entire world',2127,unrelated,unrelated,unrelated,1.5354324e-05,5.749438e-06,0.0001756184,0.99980325
Nasa questions whether crater in Nicaragua caused by meteorite,524,unrelated,unrelated,unrelated,3.860946e-06,2.72774e-06,3.5165378e-06,0.99998987
Expert casts doubt on Bunbury man Dylan Thomas’s burrowing stomach-spider story,1864,discuss,discuss,agree,0.54748386,0.102829695,0.34876087,0.00092555984
Macaulay Culkin dead: Actor is victim of another death hoax,2022,unrelated,unrelated,unrelated,4.1831686e-06,1.0195521e-07,3.5870664e-06,0.99999213
That Boko Haram Ceasefire in Nigeria Isn’t A Ceasefire,1125,unrelated,unrelated,unrelated,4.6582805e-05,1.4457293e-05,0.00017889896,0.9997601
"James Foley: American Journalist, James Wright Foley Beheaded in New ISIS Video [Breaking News]",139,unrelated,unrelated,unrelated,2.3917546e-05,1.1607389e-06,1.0717021e-05,0.99996424
Robot security guards now patrolling Microsoft's Silicon Valley campus,2288,unrelated,unrelated,unrelated,0.0001042922,2.9279292e-05,9.526526e-05,0.9997712
"Rats at Vogue's NYC offices - watch your step, Anna Wintour",2033,unrelated,unrelated,unrelated,3.4033208e-06,1.4331323e-06,6.244729e-06,0.9999889
ISIL Beheads American Photojournalist in Iraq,139,unrelated,unrelated,unrelated,5.3205596e-05,1.0364852e-05,1.3966626e-05,0.9999225
"Kim Yo Jong, Kim Jong-Un’s Sister, Takes Control of North Korea While Brother Gets Treatment?",465,unrelated,unrelated,unrelated,1.8706476e-05,9.938454e-07,7.2869248e-06,0.99997306
"Rumor: Gold Apple Watch Edition priced up to $5,000, steel version at $500, will debut on Feb. 14",731,unrelated,unrelated,unrelated,1.8772101e-07,1.125018e-07,6.014536e-07,0.99999905
Pumpkin Spice Condoms Could Be The Only Thing To Save The World From Basic Children,1400,discuss,discuss,agree,0.58224124,0.013827233,0.378155,0.025776548
"North Korean leader Kim Jong Un had ankle surgery, report says",1349,unrelated,unrelated,unrelated,2.546429e-06,7.4460686e-06,1.7915143e-05,0.9999721
Pictured: Libyan Islamist rebels pose with planes seized from Tripoli airport as U.S. officials warn they could be used to carry out terrorist attack on 9/11 anniversary,1489,unrelated,unrelated,unrelated,5.58056e-07,6.644074e-08,4.052809e-06,0.99999535
Michael Phelps’ alleged girlfriend says she was born intersex,1349,agree,agree,discuss,0.020582262,0.0012887595,0.9780473,8.162598e-05
Nigerians doubtful of girls' release after Boko Haram 'truce' breached,1821,discuss,discuss,disagree,0.29037732,0.3695168,0.3400682,3.772233e-05
Boko Haram denies truce to release kidnapped schoolgirls,171,unrelated,unrelated,unrelated,1.98804e-05,5.9759816e-07,6.4962055e-06,0.99997306
Saudi cleric condemns snowmen as anti-Islamic,1950,unrelated,unrelated,unrelated,1.639241e-05,8.737554e-07,4.1955245e-05,0.99994075
"No, there aren’t any Ebola cases in Iraq",2003,discuss,discuss,discuss,0.041422788,0.0017095156,0.9568576,1.01169935e-05
Report: 4 ISIS Terrorists Caught at Southern Border in 36 Hrs,570,unrelated,unrelated,unrelated,6.045946e-06,3.5889536e-06,1.2058801e-05,0.9999783
Missing Planes,1958,discuss,discuss,discuss,0.059111748,0.0054000802,0.9350001,0.00048802388
Islamic State militants claim to behead missing American journalist,1372,unrelated,unrelated,unrelated,0.016521942,0.014474776,0.104669124,0.8643342
Boko Haram ceasefire ignored as violence flares in Borno state,2139,disagree,disagree,discuss,0.029469207,0.14621042,0.8213098,0.0030105948
Tropical spider 'burrowed under man's skin through scar' - video report,1888,unrelated,unrelated,unrelated,6.24949e-06,5.009713e-07,7.885779e-06,0.99998534
Pictured: Libyan Islamist rebels pose with planes seized from Tripoli airport as U.S. officials warn they could be used to carry out terrorist attack on 9/11 anniversary,1958,agree,agree,agree,0.5211141,0.003425018,0.4753147,0.00014621082
ISIS Appears To Behead American Photojournalist In YouTube Video,1261,unrelated,unrelated,unrelated,1.1208046e-05,3.0518374e-06,9.2574155e-06,0.9999765
BREAKING NEWS: British-born U.S. photojournalist held hostage by al-Qaeda killed in failed rescue attempt in Yemen,913,unrelated,unrelated,unrelated,0.00010887298,3.8114238e-05,0.0013717103,0.99848133
Soldier shot near Canadian parliament building,1574,unrelated,unrelated,unrelated,2.947836e-05,8.0492955e-06,1.2857267e-05,0.9999496
"Sick Kansas City man said not to have Ebola, U.S. plans new steps to fight virus",1358,unrelated,unrelated,unrelated,0.02078167,0.011302832,0.022765363,0.94515014
Eyewitness Says Viral Video of Homeless Man Was Staged,1934,unrelated,unrelated,unrelated,0.00058349787,0.000214246,0.00197779,0.99722445
"Islamic State leader's family detained by Lebanon, officials say",2268,discuss,discuss,discuss,0.004815851,0.0027897682,0.9871563,0.0052380892
Isis 'fed murdered kidnap victim to his own mother after she travelled to their headquarters and demanded to see him',730,unrelated,unrelated,unrelated,4.4206013e-06,5.8676324e-06,8.595301e-06,0.99998116
Apple may launch 12-inch MacBook Air with Retina Display,1234,unrelated,unrelated,unrelated,8.898103e-07,6.840302e-07,1.1173522e-06,0.99999726
Bali spider burrows under Aussie’s chest,986,disagree,disagree,discuss,0.16005632,0.017553033,0.82212746,0.00026316356
Confusion as Cuba’s Castro mourned instead of Kenya’s Fidel,2377,unrelated,unrelated,unrelated,4.5147744e-06,2.2102354e-06,6.825023e-06,0.9999864
"Nun gives birth, intends to keep baby",534,discuss,discuss,discuss,0.41629228,0.0044955094,0.57909936,0.00011283427
This Selfless Homeless Man Receives $100 & Doesn't Spend A Dime On Himself!,1948,unrelated,unrelated,unrelated,2.827847e-06,3.8524075e-07,1.361836e-05,0.9999832
"No, a bird didn't poop on Vladimir Putin",720,unrelated,unrelated,unrelated,5.6123772e-05,7.01409e-06,5.4734646e-05,0.9998821
Crazy iPhone rig shows how Chinese workers manipulate App Store rankings,2421,unrelated,unrelated,unrelated,8.598473e-06,1.7752785e-06,1.1442451e-05,0.9999782
Everyone chill! Banksy has NOT been arrested,2412,unrelated,unrelated,unrelated,0.00056912826,7.187508e-05,0.0007143865,0.99864465
Insurgents killed in Nigeria despite alleged truce with Boko Haram,1372,unrelated,unrelated,unrelated,6.1693163e-06,3.5918479e-06,1.0776586e-05,0.9999795
Turkish Leader Says U.S. Airdrop Aided ISIS Militants,1572,unrelated,unrelated,unrelated,5.1545485e-06,1.2197755e-06,4.535726e-06,0.99998903
ISIS Claims to Have Intercepted Supplies From U.S. Airdrop,1597,discuss,discuss,discuss,0.19098799,0.24728985,0.5186962,0.043025944
Texas City plumber's truck ends up in Syrian war,1299,unrelated,unrelated,unrelated,2.3377936e-05,1.8382692e-05,3.701487e-05,0.9999212
Canadian-Israeli Woman May Have Been Captured In Syria: Reports,1223,unrelated,unrelated,unrelated,1.0252425e-05,6.824236e-06,3.0723534e-06,0.99997985
Kim Jong ill? Analysts say 27-year-old sister Kim Yo Jong may be running North Korea (VIDEO),1029,unrelated,unrelated,unrelated,2.7008925e-06,1.2301389e-06,1.7293667e-05,0.9999788
Al-Shabab leader who ordered Kenya mall massacre believed killed in US drone attack in Somalia,1349,unrelated,unrelated,unrelated,1.2574614e-07,1.539035e-07,5.413426e-07,0.99999917
